id_vendedor;nome_vendedor;categorias_atendidas;qtde_distinta_produtos;media_preco;qtde_disponivel_estoque;total_valor_estoque_usd;reputacao;status_vendedor;total_transacoes;vendas_estimativa
15084440;EMUNADISTRIBUIDORA;1;1;54,6;1;54,6;5_green;platinum;2686;146655,6
15096445;TECNOENLINEA;1;1;250,69;1;250,69;5_green;platinum;14469;3627233,61
15098849;LEINMORENO;1;1;96,0;1;96,0;;;1;96,0
15176813;TEXTILHOTELERO;1;1;7,8;1;7,8;5_green;silver;199;1552,2
15208273;COTILLON LUMINOSO;1;5;50,08;70000;5031859,26;5_green;platinum;38592;1932687,3599999999
15248061;DANTE_7177;1;1;18,0;1;18,0;;;0;0,0
15256165;123CLICK.;1;1;62,75;1;62,75;5_green;platinum;4169;261604,75
15329537;AUDIOJEP EXEIXA;1;1;18,0;1;18,0;;;0;0,0
15333864;ORTOPEDIA9DEJULIO;1;2;41,71;501;8412,73;5_green;platinum;27307;1138974,97
15342249;TOPTUNINGWEB;2;2;22,34;51;1015,71;5_green;platinum;11515;257245,1
15457714;GARBI666;1;1;0,0;1;0,0;5_green;;22;0,0
15548962;MGZONADEPORTIVA;1;1;27,12;250;6779,7;5_green;platinum;23067;625577,04
15626193;NATASSJA;2;2;23,305;2;46,61;5_green;platinum;4194;97741,17
15641353;LOLO-1;1;1;132,0;1;132,0;;;0;0,0
16053292;IMAGIC STORE;3;4;44,765;4;179,06;5_green;platinum;7848;351315,72000000003
16079706;MZ1 STORE;1;1;8,66;5000;43314,0;5_green;platinum;36143;312998,38
16099920;JUANKAFKA;1;1;0,13;1;0,13;;;2;0,26
16234265;NEMIROVSKYDIEGO;1;1;0,0;1;0,0;;;0;0,0
16267292;BESTMUSIC;2;3;594,3633333333333;3;1783,0900000000001;5_green;platinum;7489;4451187,003333333
16391580;TIENDA SC;1;3;123,12;3;369,36;5_green;platinum;2923;359879,76
16509973;METALBAR;1;1;36,0;1;36,0;;;9;324,0
16531828;DRAGON.NEGRO.MARTIAL;1;1;22,4;500;11200,5;5_green;platinum;11791;264118,39999999997
16728778;BUHOCOLOR;1;2;16,695;750;13054,8;5_green;platinum;51956;867405,42
16731118;GJSYS;1;1;60,0;1;60,0;;;0;0,0
16897922;MARINALOPAR;1;1;0,13;1;0,13;;;0;0,0
16961308;FHEELIAS2012;1;1;0,0;1;0,0;5_green;;70;0,0
16963940;ZTECNO;1;1;32,4;1;32,4;5_green;platinum;36571;1184900,4
17234399;LACHABE;1;1;132,0;1;132,0;;;0;0,0
17627811;DOORS1977;1;2;0,0;2;0,0;5_green;;11;0,0
17629277;PCTRONIX ESTENERLOYA;1;1;77,99;1;77,99;5_green;platinum;2869;223753,31
17782887;ERICA_77;1;1;66,0;1;66,0;5_green;;1322;87252,0
17859217;IMASTIENDA;2;9;12,695555555555554;158;465,23999999999995;5_green;platinum;43331;550111,1177777777
18025836;LRPC ELECTRONICA;1;5;188,256;154;8093,139999999999;5_green;platinum;9161;1724613,216
18083101;BSFIT;1;2;36,55;650;29642,59;5_green;platinum;29998;1096426,9
18090010;KARIVERO;1;1;30,0;1;30,0;;;0;0,0
18097202;MEMORIA CERO;1;1;6,13;1;6,13;5_green;platinum;38122;233687,86
18195764;MAURFRAT;1;1;18,0;1;18,0;5_green;;11;198,0
18221538;GRAFICA JADE;1;1;8,02;50;400,75;5_green;platinum;1949;15630,98
18226902;VERDE_SOL;1;1;0,0;1;0,0;;;0;0,0
18354684;TENISLAND;1;2;54,295;400;21717,36;5_green;platinum;28166;1529272,97
18568113;AFILACIONESGUSTAVO;1;1;19,2;1;19,2;5_green;platinum;9232;177254,4
18678868;DIEGO CHRISTENSEN;1;1;0,0;1;0,0;;;0;0,0
18720834;NICOLASGHIONE;1;1;0,0;1;0,0;5_green;;111;0,0
18739295;JAKU33;1;1;180,0;1;180,0;;;1;180,0
18776582;COMPRAFACIL YA;1;3;4,88;3;14,64;5_green;platinum;10488;51181,44
19009036;JFCELECTRONICA;3;3;49,48;3;148,44;5_green;platinum;70287;3477800,76
19086781;VUCCARITO;1;1;7,8;1;7,8;5_green;silver;884;6895,2
19274282;JOYERÍA TIEMPO;1;2;40,47;5500;194370,0;5_green;platinum;2219;89802,93
19368466;GERCMAN;1;1;3,6;500;1799,4;5_green;platinum;36988;133156,80000000002
19496235;ALTAGAMARENTALCARS;1;1;0,0;1;0,0;;;0;0,0
19534331;CASAMITRE;1;2;401,695;151;72321,70999999999;5_green;platinum;25316;10169310,62
19862774;ESTUDIO.PIETRAGALLA;1;1;0,0;1;0,0;5_green;;91;0,0
19876329;STIDIGITAL.;2;2;25,336666666666662;600;15403,8;5_green;platinum;141472;3584428,9066666663
20025056;DALEVERON;1;1;9,0;1;9,0;;;0;0,0
20080737;QUALITYPRICE1999;1;1;11,88;1;11,88;5_green;platinum;7004;83207,52
20123350;MV-GROUP;1;1;44,38;1;44,38;5_green;platinum;2195;97414,1
20159800;QUINTA.MAVI;1;1;720,0;1;720,0;;;0;0,0
20263426;PUNTOBEBE;1;1;50,04;250;12510,0;5_green;platinum;81332;4069853,28
20419080;DECO.SORIOS;1;1;26,15;100;2615,44;5_green;platinum;19495;509794,25
20448774;SUPLEMENTOSMARKET;2;1;70,92;2;141,84;5_green;platinum;1461;103614,12
20451333;FAMUSIC;1;3;480,31333333333333;3;1440,94;5_green;platinum;8397;4033191,06
20565408;MAQYHERR;1;1;41,99;1;41,99;5_green;platinum;21981;922982,1900000001
20587698;ROGERSJEANS;1;3;17,55333333333333;250;4565,42;5_green;platinum;16472;289138,50666666665
20640336;MARAANDREAQUINTIERI;1;1;0,0;1;0,0;;;0;0,0
20659342;GAMONT2046;1;1;30,0;1;30,0;5_green;;93;2790,0
20687958;CABILDOIMPORTADORA;1;1;2,83;100;283,08;5_green;;5485;15522,550000000001
20741263;LIBRERIASMAYORISTAS;1;3;17,053333333333335;101;2241,46;5_green;platinum;17326;295466,05333333334
20908304;TC-TIENDAS-AR;1;1;38,31;50;1915,26;5_green;platinum;152820;5854534,2
21388834;NUEVOMARIACHI;1;1;0,0;1;0,0;;;1;0,0
